losses_russiaequipment,losses_russiamodel,losses_russiasub_model,losses_russiamanufacturer,losses_russialosses_total,losses_russiaabandoned,losses_russiaabandoned and destroyed,losses_russiacaptured,losses_russiacaptured and destroyed,losses_russiacaptured and stripped,losses_russiadamaged,losses_russiadamaged and abandoned,losses_russiadamaged and captured,losses_russiadamaged beyond economical repair,losses_russiadestroyed,losses_russiadestroyed in a non-combat related incident,losses_russiasunk,losses_ukraineequipment,losses_ukrainemodel,losses_ukrainesub_model,losses_ukrainemanufacturer,losses_ukrainelosses_total,losses_ukraineUnnamed: 5,losses_ukraineabandoned,losses_ukraineabandoned and destroyed,losses_ukrainecaptured,losses_ukrainecaptured and destroyed,losses_ukrainedamaged,losses_ukrainedamaged and abandoned,losses_ukrainedamaged and captured,losses_ukrainedamaged beyond economical repair,losses_ukrainedestroyed,losses_ukrainescuttled to prevent capture by Russia,losses_ukrainesunk,losses_ukrainesunk but raised by Russia
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,36,,,19.0,,,,,4.0,,13.0,,,Command Posts And Communications Stations,R-409A radio station vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,1.0,,,Command Posts And Communications Stations,R-405M radio station vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,APE-5 command post,,Russia,4,,,,,,,,,,4.0,,,Command Posts And Communications Stations,9S470M1 command vehicle for Buk-M1,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MSh-5350.1 command vehicle,,Russia,1,,,1.0,,,,,,,,,,Command Posts And Communications Stations,K1Sh1 command and staff vehicle,,Ukraine,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,2,,,1.0,,,,,,,1.0,,,Command Posts And Communications Stations,Radio relay station for the TB2 UCAV,,Turkey,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,5,,,4.0,,,,,,,1.0,,,Engineering Vehicles And Equipment,IMR-2 combat engineering vehicle,,the Soviet Union,4.0,,,,1.0,,,,,,3.0,,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,,,1.0,,,,,,,,,,Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,T-64 mine clearing roller tank,,Ukraine,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,12,,,1.0,,,,,,,11.0,,,Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,2.0,,,,1.0,,,,1.0,,,,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,23,1.0,,6.0,,,,,1.0,,15.0,,,Engineering Vehicles And Equipment,IRM 'Zhuk' Engineer Reconnaissance Vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,P-240 digital communications vehicle,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,P-260 Redut-2US communication system,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,RKhM 'Kashalot',,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Command Posts And Communications Stations,P-260-U signals vehicle (for Redut-2US signal and communications system),,Russia,1,,,,1.0,,,,,,,,,Engineering Vehicles And Equipment,BTS-4 armoured recovery vehicle,,the Soviet Union,4.0,,,,2.0,,,,,,2.0,,,
Command Posts And Communications Stations,R-431AM antenna module for the Redut-2US communications system,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Command Posts And Communications Stations,R-419L1 communications station,,Russia,2,,,,,,,,,,2.0,,,Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MP-1IM signals vehicle,,Russia,10,,,3.0,,,,,,,7.0,,,Engineering Vehicles And Equipment,MTO-AT mobile workshop,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MP-2IM signals vehicle,,Russia,2,,,1.0,,,,,,,1.0,,,Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-439-MD2 SatCom Station,,Russia,2,,,,,,,,,,2.0,,,Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,3.0,,,,1.0,,,,,,2.0,,,
Command Posts And Communications Stations,R-441 SatCom station,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,TMM-3M1 bridge layer,,Ukraine,3.0,,,,2.0,,,,,,1.0,,,
Command Posts And Communications Stations,Auriga-1.2V portable satellite communications station,,Russia,2,,,1.0,,,,,,,1.0,,,Engineering Vehicles And Equipment,Pontoon bridge,,Ukraine,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-381T2M 1.5-3000 MHz radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex,,Russia,4,,,1.0,,,,,,,3.0,,,Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Command Posts And Communications Stations,Orlan-10 UAV control station,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,KrAZ-255B pontoon bridge layer,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,P-230T command vehicle,,Russia,3,,,,,,,,,,3.0,,,Engineering Vehicles And Equipment,KrAZ-260 pontoon bridge layer,,the Soviet Union,3.0,,,,,,,,,,3.0,,,
Command Posts And Communications Stations,MPUS-K mobile command post,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,3.0,,,,2.0,,,,,,1.0,,,
Command Posts And Communications Stations,Unknown communications station based on the KamAZ 6x6,,Russia,7,,,,,,,,1.0,,6.0,,,Engineering Vehicles And Equipment,PZM-2 trench-digging vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
